Date,Portfolio_Value,Buy_Hold_Value,Actual_Close
2023-01-01,100000.0,100000.0,69.57498168945312
2023-01-02,101444.04949188232,101444.34921329764,70.57988739013672
2023-01-03,101444.04949188232,101571.79275850469,70.6685562133789
2023-01-04,101444.04949188232,101005.36969155197,70.27446746826172
2023-01-05,101444.04949188232,101175.2944184947,70.39269256591797
2023-01-06,101444.04949188232,101104.48879369673,70.34342956542969
2023-01-07,101444.04949188232,101656.75512197604,70.72766876220703
2023-01-08,101444.04949188232,101755.86325840533,70.79662322998047
2023-01-09,101444.04949188232,101543.45734972693,70.64884185791016
2023-01-10,101444.04949188232,100552.24439684837,69.9592056274414
2023-01-11,101444.04949188232,99858.38875040409,69.47645568847656
2023-01-12,101444.04949188232,99362.77130824933,69.13162994384766
2023-01-13,101444.04949188232,97720.18389066217,67.98880004882812
2023-01-14,101693.94173431396,97960.91424240284,68.15628814697266
2023-01-15,102267.20384979248,98513.15863925121,68.54051208496094
2023-01-16,102267.20384979248,98060.03334454761,68.22525024414062
2023-01-17,102267.20384979248,98513.15863925121,68.54051208496094
2023-01-18,102267.20384979248,99603.49069427454,69.29911041259766
2023-01-19,102267.20384979248,99603.49069427454,69.29911041259766
2023-01-20,102267.20384979248,99929.18340948658,69.52571105957031
2023-01-21,102267.20384979248,98980.45163834369,68.86563110351562
2023-01-22,103057.23173522949,99745.10194387045,69.39763641357422
2023-01-23,103057.23173522949,98343.2339123085,68.42228698730469
2023-01-24,103057.23173522949,98343.2339123085,68.42228698730469
2023-01-25,103057.23173522949,96304.1591204268,67.00360107421875
2023-01-26,101981.41087341309,95298.77846315937,66.30410766601562
2023-01-27,101405.611328125,94760.67983926894,65.92972564697266
2023-01-28,101026.8023223877,94406.67364671009,65.68342590332031
2023-01-29,101026.8023223877,92834.86992248995,64.58984375
2023-01-30,101581.51448059082,93344.6441033181,64.94451904296875
2023-01-31,101581.51448059082,92480.87469564658,64.34355163574219
2023-02-01,101115.12850952148,92056.07384400524,64.0479965209961
2023-02-02,101270.57846069336,92197.66316217021,64.1465072631836
2023-02-03,101674.80612182617,92565.8480248334,64.40267181396484
2023-02-04,101674.80612182617,90201.0695520242,62.75737762451172
2023-02-05,101610.96250915527,90144.4261487574,62.71796798706055
2023-02-06,102025.93054199219,90512.59456284737,62.97412109375
2023-02-07,101132.15704345703,89719.61981425833,62.42240905761719
2023-02-08,100876.79495239258,89493.05716690652,62.26477813720703
2023-02-09,100557.58306884764,89209.84563343016,62.06773376464843
2023-02-10,99839.37178039551,88572.63339025271,61.624393463134766
2023-02-11,98546.59269714354,87425.65244910482,60.8263816833496
2023-02-12,98738.11735534668,87595.57717604755,60.94460678100586
2023-02-13,99903.20921325684,88629.27131066179,61.66379928588867
2023-02-14,100541.62680053712,89195.68889475678,62.0578842163086
2023-02-15,101770.56845092773,90286.03191549557,62.816490173339844
2023-02-16,102025.93054199219,90512.59456284737,62.97412109375
2023-02-17,102760.09809875488,91163.96354469823,63.427310943603516
2023-02-18,102760.09809875488,91404.69937929664,63.59480285644531
2023-02-19,102760.09809875488,91234.76916949618,63.4765739440918
2023-02-20,102760.09809875488,91427.38196174896,63.61058425903321
2023-02-21,102760.09809875488,90813.87211256262,63.18373489379882
2023-02-22,102760.09809875488,90628.39251822393,63.05468750000001
2023-02-23,102760.09809875488,88759.31921329326,61.75428009033203
2023-02-24,103932.88471984863,89772.32652567096,62.45907974243164
2023-02-25,103932.88471984863,89215.88774265484,62.07193756103516
2023-02-26,104049.20212554932,89315.75799630939,62.14142227172852
2023-02-27,104564.34487152097,89758.06012984284,62.44915390014648
2023-02-28,104115.67833709715,89372.83454533732,62.18113327026367
2023-03-01,106109.76033782959,91084.95556472777,63.37234115600587
2023-03-02,106109.76033782959,90057.68185652194,62.657615661621094
2023-03-03,105151.81621551514,89244.42053431107,62.09178924560547
2023-03-04,106580.33017349242,90457.17931971332,62.93556594848632
2023-03-05,106580.33017349242,89672.4507891587,62.38959121704102
2023-03-06,105902.1445045471,89101.75109317219,61.99252700805665
2023-03-07,106071.68440628049,89244.42053431107,62.09178924560547
2023-03-08,106071.68440628049,89001.8753566599,61.923038482666016
2023-03-09,106071.68440628049,89658.1898761883,62.379669189453125
2023-03-10,106071.68440628049,89272.95880882503,62.11164474487305
2023-03-11,106071.68440628049,89101.75109317219,61.99252700805665
2023-03-12,106071.68440628049,88502.50215695625,61.57559967041016
2023-03-13,106071.68440628049,88830.65667529157,61.80391311645508
2023-03-14,106071.68440628049,88231.41870479108,61.38699340820312
2023-03-15,106071.68440628049,88103.01017662259,61.29765319824219
2023-03-16,106071.68440628049,86761.84834590954,60.364540100097656
2023-03-17,106124.00352096556,86804.6475333939,60.39431762695313
2023-03-18,107641.39859771727,88045.9391104524,61.257946014404304
2023-03-19,107641.39859771727,87132.80753458697,60.62263488769531
2023-03-20,108663.35885620116,87960.33525262597,61.198387145996094
2023-03-21,109350.53622817992,88516.77403564208,61.58552932739258
2023-03-22,109350.53622817992,88131.54296827882,61.3175048828125
2023-03-23,109350.53622817992,88816.39576232119,61.79399108886719
2023-03-24,110158.30920028685,89472.70479899186,62.25061798095703
2023-03-25,110158.30920028685,89058.94093997235,61.96274185180663
2023-03-26,110158.30920028685,88145.80936410694,61.32743072509766
2023-03-27,110158.30920028685,87789.11657125765,61.07926177978516
2023-03-28,110856.32655334468,88345.55535427375,61.46640396118163
2023-03-29,114346.42707443234,91127.76023506986,63.402122497558594
2023-03-30,114346.42707443234,88973.33708214592,61.90318298339844
2023-03-31,115208.16406631465,89643.92348036017,62.36974334716796
2023-04-01,117444.9981384277,91384.5827742646,63.580806732177734
2023-04-02,117444.9981384277,90571.32145205373,63.01498031616211
2023-04-03,117204.5757369995,90385.83637485729,62.88592910766602
2023-04-04,115947.01662445065,89415.63373282166,62.21091079711914
2023-04-05,116779.2277870178,90057.68185652194,62.657615661621094
2023-04-06,117223.07468795773,90400.10825354313,62.89585876464844
2023-04-07,118110.76138305663,91084.95556472777,63.37234115600587
2023-04-08,119423.80313491818,92097.96287710547,64.07714080810547
2023-04-09,125064.32729721066,96449.60837043767,67.10479736328125
2023-04-10,127117.10677719113,98033.32086165961,68.2066650390625
2023-04-11,127117.10677719113,99160.47578923544,68.99088287353516
2023-04-12,127117.10677719113,98261.6051263404,68.36549377441406
2023-04-13,127117.10677719113,98518.43314839288,68.54418182373047
2023-04-14,128994.31855392453,99973.72614573085,69.55670166015625
2023-04-15,128994.31855392453,99930.9269582465,69.52692413330078
2023-04-16,131406.56014633176,101799.9892974617,70.82732391357422
2023-04-17,131406.56014633176,100715.64452308569,70.07289123535156
2023-04-18,133081.70338821408,101999.74077048626,70.96630096435547
2023-04-19,133081.70338821408,101015.27173262252,70.28135681152344
2023-04-20,133081.70338821408,101115.1474691348,70.35084533691406
2023-04-21,133719.93320083615,101600.24879015262,70.6883544921875
2023-04-22,135803.5649757385,103183.96128137456,71.79022216796875
2023-04-23,135803.5649757385,100144.94482709919,69.67582702636719
2023-04-24,135590.7499732971,99988.00350727444,69.56663513183594
2023-04-25,136325.9371833801,100530.17041160472,69.94384765625
2023-04-26,138202.6110115051,101914.1314298021,70.90673828125
2023-04-27,138241.30194473264,101942.66422145833,70.92658996582031
2023-04-28,137448.07833480832,101357.69812964372,70.51959991455078
2023-04-29,137448.07833480832,99788.25203424988,69.42765808105469
2023-04-30,136819.43420028684,99331.6835048883,69.11000061035156
2023-05-01,136918.39023971555,99403.55280408697,69.16000366210938
2023-05-02,138818.22842788693,100783.35781612074,70.12000274658203
2023-05-03,138818.22842788693,99719.7492097009,69.37999725341797
2023-05-04,138818.22842788693,99576.02157701903,69.27999877929688
2023-05-05,139679.51903915402,100194.06026669497,69.70999908447266
2023-05-06,137596.39720535275,98699.26876222952,68.66999816894531
2023-05-07,138157.2347602844,99101.71052002494,68.94999694824219
2023-05-08,138157.2347602844,98900.48964112722,68.80999755859375
2023-05-09,140585.70292282102,100639.6192177234,70.0199966430664
2023-05-10,140585.70292282102,101674.47571817761,70.73999786376953
2023-05-11,140585.70292282102,101142.68238068315,70.37000274658203
2023-05-12,143081.95292282102,102939.30520349517,71.62000274658203
2023-05-13,143081.95292282102,103298.62976805758,71.87000274658203
2023-05-14,143081.95292282102,102522.48739271692,71.33000183105469
2023-05-15,146791.1998634338,105181.48697733562,73.18000030517578
2023-05-16,146791.1998634338,100510.26763802436,69.93000030517578
2023-05-17,143516.76498794553,98268.08586418391,68.37000274658203
2023-05-18,143621.70537948605,98339.94419766711,68.41999816894531
2023-05-19,146833.1728172302,100539.00877827455,69.94999694824219
2023-05-20,148533.3737068176,101703.22782414327,70.76000213623047
2023-05-21,149939.6998634338,102666.2150253988,71.43000030517578
2023-05-22,152080.6728172302,104132.2544238986,72.44999694824219
2023-05-23,152080.6728172302,103284.25371507475,71.86000061035156
2023-05-24,152080.6728172302,103025.53958996119,71.68000030517578
